review_id,title,year,user_review,user_suggestion;;;;;;;
"1,Spooky's Jump Scare Mansion,2016.0,""I'm scared and hearing creepy voices.  So I'll pause for a moment and write a review while I wait for my heart beat to return to atleast somewhat calmer times.  This game is adorable and creepy like my happy tree friends but with the graphics sceme of my childhood (but more bubble and 'clean').  Hello 1990's.What charactes there are (that isnot trying to kill me) were likable and a bit odd.  I did do a few noob things though, such as:Oh look a class room full of ghosts from dead children, lets shine my flashlight on them and stand there staring at them..Or, hmm creepy music, I'll turn around and see if I can see what's chasing me.Never before in a game have I been this afraid of finding a locked door."",1";;;;;;;
"2,Spooky's Jump Scare Mansion,2016.0,""Best game, more better than Sam Pepper's YouTube account. 10/10What you'll need to play:A computerSome extra pants.Pros:Scary as hell.Fun.Adventure.Spooky.Did I forgot to mention that its scary as hell?You'll get more pants/briefs in your wardrobe.Time consuming if you're bored.Cons:Buying pants/briefs. You haven't downloaded it yet."",1";;;;;;;
"3,Spooky's Jump Scare Mansion,2016.0,""A littly iffy on the controls, but once you know how to play, very easy to master. I've made it to floor 1000 before, but due to certain circumstances was unable to finish. Was not game related, don't worry, not a bug/glitch or antyhing.I highly recommend this for casual play, maybe with a friend or two watching. Hilarity ensues, especially once you hit floor 150. Have fun my fellow fleshlings!"",1";;;;;;;
"4,Spooky's Jump Scare Mansion,2015.0,""Great game, fun and colorful and all that.A side note, though: When are we getting windowed mode? My computer hates fullscreen so.... yeah. The computer doesn't like to run this. Shame, because this is really enjoyable. But until then, I guess I'll settle for more Skyrim. Cheers!"",1";;;;;;;
"5,Spooky's Jump Scare Mansion,2015.0,""Not many games have the cute tag right next to the horror tag on Steam.I first played this game in late 2014 and coming back to it for the first time since. This game is so good for it being free, take advantage and experience it. Try and get to  room 1000 or as close as you can. The further you progress the darker the game becomes."",1";;;;;;;
"6,Spooky's Jump Scare Mansion,2015.0,""Early Access ReviewIt's pretty cute at first, but then later gets horrifying and it really does jumpscare! The specimen scared me more! Still enjoyable and worth playing, though. Great and well-made game!10/10"",1";;;;;;;
7,Spooky's Jump Scare Mansion,2017.0,Great game. it's a cute little horror game that progressively gets darker and scarier. It has a sense of humor too! (I've played it a little but I have watched several people play it and I love it!),1;;;;;;;
"8,Spooky's Jump Scare Mansion,2015.0,""Spooky's Jump Scare Mansion is a Free Retro maze game with jump scares and death.  It worked on Win 10, looked ok, played ok, sounded ok.  I took a wrong turn somehow and keep getting killed by a ghostly creature around room 61, i guess i need to restart and take a different route.  Has a retro look, sort of like Castle Wolfenstein or Doom.   Has creepy music and sounds.  It has 1,000 rooms to go through.  Try this game, you might like it.For more info:https://www.youtube.com/watch?v=4mKsY6rVdDohttps://www.youtube.com/watch?v=G3olm3IprwQhttps://www.youtube.com/watch?v=VZEJVpaRhkIhttp://www.polygon.com/2015/4/27/8502907/spookys-house-of-jump-scares-gameplay-overview-videohttps://www.rockpapershotgun.com/2016/01/14/spookys-house-of-jump-scares-free-game/#more-340713http://www.indiedb.com/games/spookys-house-of-jump-scares/reviewshttp://www.bagogames.com/spookier-meets-eye-spookys-house-jump-scares-review/ "",1";;;;;;;
"9,Spooky's Jump Scare Mansion,2015.0,""Somewhere between light hearted, happy parody and being afraid of the dark lies Spooky's House of Jump Scares. You are tasked with the daunting duty of surviving one thousand rooms in this endless first person perspective runner. Each room is no more than a few seconds thanks to a sprint key and the fact that each door counts as a new room. Even then one thousand rooms is still a feat against tedium and needless repetition. There are still things every fifteen or so rooms to keep your interest and at the end of fifty rooms you'll find a save point, but nothing can save you from permanent death at the hands of the foul creatures that live within.On the surface the game has a clean, chipper almost cartoon low budget charm to it. Jump scares are rare and at first it comes in the form of adorable cardboard cutouts of pumpkins, ghosts and skeletons that pop out of the wall accompanied by a sound. Some of the sounds are silly and unfitting other times its screeches to drive chills down your spine. The game excels in the sound department and makes good use of music, ambient sounds and foot steps following you.As you delve deeper through the doors of this dank dungeon, you'll uncover more frightening things and points of intreege. There are plenty of written notes here and there. A few times you'll need to search for a key in a different room, but the other ninety-nine percent of the game is leaving rooms behind forever.The themes of the rooms begin to change from the mundane almost Wolfenstien 3D-esque corridors to metal asylum rooms that give you a flashlight to find your way through. There are purple dungeons, green sewers with glowing scum. Some rooms are coated with slime to slow you own while others have holes in the ceiling as if to give you a feeling of dread that something could pop out.There are a limited amount of rooms and I started to memorize them all. Even the game's crescendo encounters in a vacant room with walkways. There's no way to fall into the dark chasms, it acts as if they were walls, but with this open room you get to see a specific creature that might be following you. Sometimes they can float over the gaps, other times they're stuck trying to walk at you from across the gap so you can get a good look at them when they're harmless.If they touch you three or so times you're dead. You have health that does replenish over time and these big moments are rare and easy to avoid. Just keep running and hope there are no locked doors! They only happen in specific rooms and sometimes the rooms are empty, but it still gives that dreadful feeling.You can tear through these rooms pretty quick about 350 of them in a 45 minute. Your stamina will deplete to give a monster the chance to catch you, but going through a door restores your will to run. Other than that waiting a few seconds will replenish your stamina. Longer rooms hav1e limited visibility. The further out an area is the darker it gets.A few rooms have good diversions or tricks to them. Such as one that turns bright and you need to enter the correct combination of corridors signaled by chimes until you can see the door. Another room is endless darkness with a torch at the end, until its revealed that the torch is merely painted on a black wall. A few times you'll need to search an adjacent room for a key to the one you're in.Every fifty rooms, you take a moment to unwind in an elevator that reminds you to hang in there or have a coffee break. The game makes a good balance of calm moments for each of the few tense situations. Its what keeps you off kilter and never expecting anything. Every two hundred and fifty rooms offers a prize to you. What's in the box? Is it snakes? Is it a jack-in-the-box or is it a note?Truth be told I'm very goal oriented with video games and so Spooky missed its mark for me. The cardboard cutouts get in the way. Being chased by something means that it was no threat since it was already behind me. Perhaps in later rooms it gets more difficult, but this is just easy tedium.  Another room, another room, another room. Then knowing I have seven hundred more rooms and another two hour investment of endless running turns the game into a grind. There's no fear and its too long to endure even with save points. The game reuses its points of interest a few times since it recycles rooms.Another issue I have with the game is getting stuck on edges where I need to push away from a wall to get free and turn a corner. Its more than walls, its on the gaps too. I suppose this is acceptable for a scary game where you get chased, but I'm hung up on these hang ups.One interesting thing the game does have is a stabbing mini game where it looks like you're a ghost in a mall. Its a good diversion from the repetition. There's even a computer that shows you all the creatures in the house. Well most of them at least.The best selling point this game has is that its free. By no means does that make this a good game, but it makes it easier to accept. Its a game that brings you up with charm to tear you down with scares beyond the cheap cardboard cutouts that can litter a hallway every so often. Its just far too repetitive without that much dread or excitement."",0";;;;;;;
"10,Spooky's Jump Scare Mansion,2015.0,""This game with its cute little out of the wall pop-ups that scared the living light out of me I like it very much I haven't played it lately but this is a very good game, I like how its a funny jump scare game and it is very very fun but the story is pretty sad. so good luck and have fun in the rooms :D"",1";;;;;;;
